encuesta_id,fecha,zona_id,region,tipo_zona,puntuacion_general_1a5,nps_0a10,texto_libre,indice_calidad_global,incidencia_masiva,stress_calidad,flag_incongruente,sent_text_latente
E77700132,2023-01-01,Z04,Centro,suburbana,3,0,Desde hace meses no tengo cobertura dentro de casa. los datos van lentísimos. Gracias por la atención.,35.13,0,0.4981,0,-0.913
E77700023,2023-01-01,Z05,Este,urbana_premium,5,1,En las últimas semanas se corta en llamadas. el 5G ni se nota. no me dieron solución.,40.98,0,0.4146,1,-0.619
E77700582,2023-01-01,Z05,Este,urbana_premium,5,0,En mi experiencia la cobertura es mala. la velocidad es muy baja. Espero que lo solucionen pronto.,40.98,0,0.4146,1,-0.574
E77700150,2023-01-01,Z09,Norte,urbana_premium,2,3,En mi experiencia se queda sin servicio. hay mucha latencia. no me dieron solución. No es lo que esperaba.,41.35,0,0.4093,0,-1.0
E77700247,2023-01-01,Z09,Norte,urbana_premium,3,3,"En mi experiencia hay cortes constantes. los datos van lentísimos. Si no mejora, me planteo cambiarme.",41.35,0,0.4093,0,-0.7
E77700525,2023-01-01,Z09,Norte,urbana_premium,2,0,En general hay cortes constantes. la velocidad es muy baja. la atención al cliente no ayuda. Espero que lo solucionen pronto.,41.35,0,0.4093,0,-0.989
E77700689,2023-01-01,Z09,Norte,urbana_premium,4,10,Este mes la cobertura es mala. no entiendo los cargos. Además tiene altibajos.,41.35,0,0.4093,0,-0.239
E77700989,2023-01-01,Z09,Norte,urbana_premium,3,4,En mi zona la cobertura es mala. el descuento no se aplicó.,41.35,0,0.4093,0,-0.266
E77700258,2023-01-01,Z10,Este,suburbana,2,2,"En mi experiencia la señal va y viene. los datos van lentísimos. la factura sube sin explicación. Si no mejora, me planteo cambiarme.",31.56,0,0.5491,0,-0.413
E77700927,2023-01-01,Z14,Norte,rural,3,12,"En mi experiencia se corta en llamadas. el 5G ni se nota. no entiendo los cargos. Si no mejora, me planteo cambiarme.",21.79,0,0.6887,0,-0.962
E77700549,2023-01-01,Z15,Oeste,suburbana,5,4,Últimamente no tengo cobertura dentro de casa. los datos van lentísimos. el descuento no se aplicó. No es lo que esperaba.,31.15,0,0.555,1,-0.634
E77700034,2023-01-01,Z16,Este,urbana_premium,3,2,"En general no tengo cobertura dentro de casa. hay mucha latencia. me parece caro para lo que ofrecen. Por favor, revisen la cobertura en mi zona.",40.73,0,0.4181,0,-0.734
E77700507,2023-01-01,Z16,Este,urbana_premium,1,2,Este mes se nota congestión. tiene altibajos. Por otro lado no es perfecto pero cumple.,40.73,0,0.4181,1,-0.141
E77700137,2023-01-01,Z17,Sur,suburbana,4,0,En mi zona hay cortes constantes. los datos van lentísimos. no me dieron solución.,31.85,0,0.545,1,-0.941
E77700369,2023-01-01,Z17,Sur,suburbana,4,4,Este mes se corta en llamadas. el 5G ni se nota. me parece caro para lo que ofrecen.,31.85,0,0.545,0,-0.508
E77700008,2023-01-01,Z20,Oeste,suburbana,4,2,"En las últimas semanas no tengo cobertura dentro de casa. los datos van lentísimos. tardaron muchísimo. Por favor, revisen la cobertura en mi zona.",30.24,0,0.568,1,-0.652
E77700422,2023-01-01,Z22,Este,suburbana,2,1,"En general se corta en llamadas. se nota congestión. Si no mejora, me planteo cambiarme.",31.94,0,0.5437,0,-0.376
E77700426,2023-01-01,Z26,Oeste,urbana_premium,3,5,En mi zona los datos van lentísimos. podría ser mejor. Lo mejor es que no es perfecto pero cumple.,41.27,0,0.4104,0,-0.147
E77700680,2023-01-01,Z28,Sur,urbana_premium,5,0,"Este mes la señal va y viene. la velocidad es muy baja. Por favor, revisen la cobertura en mi zona.",36.68,0,0.476,1,-0.788
E77700933,2023-01-01,Z29,Oeste,urbana_premium,3,3,En las últimas semanas se queda sin servicio. hay mucha latencia. En resumen no es perfecto pero cumple.,39.49,0,0.4359,0,-0.612
E77700533,2023-01-01,Z30,Centro,suburbana,6,2,"Este mes normal, sin más. no es perfecto pero cumple. Lo peor es que tiene altibajos.",30.27,0,0.5676,0,-0.306
